,Taxon,Taxon02,Raw_Taxon,Annual_Perennial2,Habitat3,Subfamily,Photosynthetic_Type,Stele.Diameter,Stele.Area,No.Primary.Metaxylem.Vessels,Mean.Metaxylem.Diameter,Mean.Metaxylem.Area,Mean.Endodermal.Thickening,Mean.Endodermal.Cell.Depth,SD.Metaxylem.Diameter,SD.Metaxylem.Area,SD.Endodermal.Thickening,SD.Endodermal.Cell.Depth,COV.Metaxylem.Diameter,COV.Metaxylem.Area,COV.Endodermal.Thickening,COV.Endodermal.Cell.Depth,Total.metaxylem.area,Metaxylem.to.Stele.Ratio,MAT.degC,Mdiurnalrange.degC,Isothermality,Tseasonality,MaxTwarmweek.degC,MinTcoldweek.degC,Tannrange.degC,MtempwetQ.degC,MtempdryQ.degC,MtempwarmQ.degC,MtempcoldQ.degC,AnnP.mm,Pwetweek.mm,Pdryweek.mm,Pseasonality,PwetQ.mm,PdryQ.mm,PwarmQ.mm,PcoldQ.mm,Annmeanradiation.Wm2,Highweekrad.Wm2,Lowweekrad.Wm2,Radseasonality,RadwetQ.Wm2,RaddryQ.Wm2,RadwarmQ.Wm2,RadcoldQ.Wm2,Annmoistureindex,Hweekmoistureindex,Lowweekmoistureindex,Mindexseasonality,MmoistureindexwetQ,MmoistureindexdryQ,MmoistureindexwarmQ,MmoistureindexcoldQ,FirstPCA1to35,SecondPCA1to35,ThirdPCA1to35,FourthPCA1to35,FifthPCA1to35,Number.Endodermal.Layers,Median.phloem.clusters,Genus
Diheteropogon_amplectens,Diheteropogon_amplectens,Andropogon_virginicus,Andropogon tectorum,Perennial,Open,Panicoideae,C4,419.673,138328.729,11,54.42609091,2375.918909,2.541625,13.12825,8.3185481,700.984148,0.453587517,2.629727681,0.152841183,0.295037068,0.178463588,0.200310604,26135.108,0.18893478,26.06008856,11.23718796,0.697509485,0.004132147,34.70559269,18.41778476,16.28780764,25.28840166,26.09369096,27.76840553,24.56848759,1266.961534,52.84971927,1.891644182,0.710552688,583.3568998,47.79014661,233.8689594,427.7665971,151.326992,180.4121642,110.7856543,0.156013168,134.6646834,163.4264965,174.2588389,122.086278,0.759361686,1.316086527,0.178511233,0.562462852,1.224806992,0.236632917,0.49800007,1.018703764,1.011563523,1.106512179,-0.58196253,-0.624491917,0.484690038,24,3.5,Diheteropogon
Sorghum_bicolor,Sorghum_bicolor,Sorghum_bicolor,Sorghum bicolor,Annual,Open,Panicoideae,C4,346.555,94326.766,6,63.2345,3172.824,4.721625,15.11925,7.030356371,647.6813145,0.896958979,2.315452671,0.111179125,0.204134019,0.18996828,0.153146001,19036.944,0.20181911,20.41258879,11.77111706,0.57150309,0.011657527,31.27637323,9.400047038,21.87632616,21.73748001,19.16820549,24.60372956,15.97242215,1101.533528,43.14511595,5.972237809,0.591433846,491.0588751,97.05359827,320.0395349,202.0330256,176.4864746,226.1879115,123.0203737,0.203880377,173.8650021,184.104662,210.0658167,137.8305081,0.697819651,1.08490869,0.332571341,0.375504722,1.01733785,0.379844752,0.645018056,0.702825551,0.871921387,0.309728144,0.112840315,0.144974955,0.101869303,8,5,Sorghum
Zea_mays,Zea_mays,Zea_mays,Zea mays,Annual,Open,Panicoideae,C4,510.474,204662.288,5,93.1708,6821.1168,12.66075,18.19205,2.263882219,335.6450233,2.099264204,2.300857014,0.024298194,0.049206755,0.165808835,0.126475961,34105.584,0.166643226,10.4747059,9.755178922,0.337286198,0.024011648,26.06643639,-3.256024075,29.32246042,11.42053876,9.7339892,19.01259715,1.610808327,870.5919107,25.13889893,10.7255126,0.269323018,292.3940393,153.630583,211.502243,209.3477894,141.3837107,241.6794487,50.18705178,0.473261324,138.8917272,144.7474905,221.0929625,64.95704631,0.832594807,1.099409988,0.526419463,0.254582302,1.063676922,0.576187841,0.613607849,1.00607658,0.121680292,-0.016213586,0.93728344,-0.311422915,1.121884957,20,5,Zea
Arundinella_deppeana,Arundinella_deppeana,Arundinella_deppeana,Arundinella deppeana,Perennial,Open,Panicoideae,C3,245.957,47512.6863,3,43.965,1533.321333,4.650333333,18.46566667,5.388665048,360.1623772,0.989827392,1.546339764,0.122567157,0.234890345,0.212850848,0.083741345,4599.964,0.09681549,22.89950617,10.61749338,0.776654136,0.002369685,30.16998245,16.43989979,13.73008258,22.6394768,22.93590176,23.88403154,22.05718168,2741.531992,100.04313,9.273689306,0.615793151,1144.979294,163.4946591,523.1195095,627.0869114,184.289477,213.8439764,157.0496422,0.093711032,175.8233851,191.4902657,206.0681732,162.5896999,1.20289142,1.81294183,0.467492366,0.397958383,1.684525431,0.561976709,0.941730861,1.236544132,0.923101753,2.454066334,0.226690485,0.295374594,1.123492777,6,4.5,Arundinella
Steinchisma_laxum,Steinchisma_laxum,Steinchisma_laxum,Steinchisma laxum,Perennial,Open,Panicoideae,C3,181.774,25951.061,6,30.5425,736.6736667,3.2685,12.3495,2.480547984,119.9514694,0.564658747,2.014083489,0.081216272,0.162828502,0.172757762,0.163090286,4420.042,0.170322208,24.11904179,10.21793581,0.694582457,0.005237639,31.09133387,16.27702667,14.81430728,25.19657326,22.69825112,25.85632996,21.95255557,1608.81818,50.73515701,11.86503936,0.422019396,599.2866603,190.9622624,509.781919,262.1835379,163.0406187,192.1905219,126.621069,0.130584488,167.4632861,158.9458396,180.0745069,145.7562369,0.974818697,1.256074089,0.598180884,0.230596969,1.200350026,0.670785225,1.066966516,0.870587333,1.178474452,0.572155766,0.975444449,0.378624023,-1.016695774,6,5,Steinchisma
Chasmanthium_laxum,Chasmanthium_laxum,Chasmanthium_latifolium,Chasmanthium latifolium,Perennial,Open,Panicoideae,C3,147.61,17112.851,4,29.449,778.0735,0.87775,9.288625,12.82902093,586.3132492,0.275132046,1.305841375,0.435635197,0.753544812,0.313451491,0.140585003,3112.294,0.181868819,15.29579691,13.04007526,0.369794948,0.027570072,32.66607654,-2.953999304,35.62007549,16.98215135,11.16668503,25.14687155,4.777390955,1165.252077,32.89282372,13.18766419,0.263350853,373.1880373,199.9074676,309.4153656,250.1966074,152.0611773,223.0572527,78.19505977,0.325590609,174.8304521,123.9954804,207.1341685,91.04754781,0.846656766,1.055527803,0.570989505,0.19120197,1.020125309,0.63898175,0.657802902,0.97134797,0.085653733,0.183254741,1.208840614,0.939041704,0.783830754,8,4.5,Chasmanthium
Centotheca_lappacea,Centotheca_lappacea,Centotheca_lappacea,Centotheca lappaceae,Perennial,Shade,Panicoideae,C3,233.973,42995.17,9,38.27155556,1190.192778,3.621,9.542428571,7.551335082,449.6374223,0.417552791,1.225839013,0.197309333,0.377785373,0.11531422,0.128461953,10711.735,0.249138101,25.07745378,8.671875872,0.723476086,0.003645032,31.33455451,19.01845801,12.31609649,25.39389167,24.61209863,26.32645166,23.56110141,2210.588223,82.94461821,13.43355562,0.537058167,911.2158932,221.8672585,596.6524482,467.8298773,146.1696664,179.944085,109.954286,0.162941616,136.3487365,156.3602063,164.983046,122.9110669,1.126477002,1.631314241,0.597187775,0.305233754,1.495637298,0.689150734,1.115327958,1.090615127,1.008657116,1.776628521,0.707978877,0.105258887,-0.282435471,7,7,Centotheca
Aristida_purpurea,Aristida_purpurea,Aristida_purpurea,Aristida purpurea,Annual,Open,Aristidoideae,C4,345.636,93827.065,10,80.3785,555.825,6.20775,17.813125,171.6753388,195.2646054,1.02460651,1.321067257,2.135836558,0.351305906,0.165052798,0.074162577,5558.25,0.059239304,14.19619209,15.74841054,0.451311248,0.023929641,32.96146854,-2.302479133,35.26394737,14.83239375,14.63876355,23.3009433,5.807540948,358.25002,14.2798355,1.232689772,0.599773161,166.086444,27.29936878,81.76822603,115.5475509,172.4310778,253.0414054,91.18724784,0.324213136,168.2911749,197.2324792,233.1449287,104.139432,0.359982183,0.589750091,0.175618336,0.372466104,0.558530921,0.199218308,0.235480423,0.503815217,0.45052119,-0.738941491,-0.148733904,0.07440654,0.910458665,8,4.5,Aristida
Stipagrostis_hirtiglumis,Stipagrostis_hirtiglumis,Stipagrostis_hirtigluma,Stipagrostis hirtigluma,Perennial,Open,Aristidoideae,C4,294.299,68024.92,7,46.06257143,1717.24,10.85666667,19.52533333,9.636595575,635.7323448,2.414378402,2.264201905,0.209206635,0.37020588,0.222386712,0.115962266,12020.68,0.176709947,20.47358735,11.35512261,0.620022605,0.008238253,29.59622463,10.57596016,19.02026478,20.73039722,20.09705321,23.2853775,17.1400098,439.6666632,21.2468672,0.588633908,0.918055981,222.6572197,16.0312971,133.6366621,33.92266451,188.8045438,220.398838,152.3808314,0.117880602,178.2418264,194.4153163,205.1652667,168.2309596,0.372096269,0.671306578,0.126990476,0.520524445,0.609629837,0.147272248,0.410494172,0.247153947,1.33937042,-0.715062748,-0.66183325,-0.495151089,-0.984714907,6,5.5,Stipagrostis
Eustachys_glauca,Eustachys_glauca,Eustachys_glauca,Eustachys glauca,Perennial,Open,Chloridoideae,C4,455.548,162988.815,13,34.57938462,981.1282308,7.547777778,13.63933333,7.611553647,362.8141941,2.880544427,1.460234485,0.220118251,0.369792839,0.381641393,0.107060547,12754.667,0.078254861,21.35520935,12.79961014,0.502135813,0.0161037,32.88710022,7.39677,25.49032974,27.02389908,18.03318977,27.03964996,15.02923012,1361,49.09379959,12.65569973,0.458860606,580.7536011,194.7378998,580.5532227,242.6864014,161.5890045,209.4620056,102.4759979,0.227959007,187.6054993,119.7376022,190.761795,117.1837997,0.877359807,1.176972032,0.56674701,0.208468705,1.119796991,0.716510773,1.095698953,0.857317686,0.522107005,0.679370999,1.010805964,1.362148046,-0.503044009,9,5,Eustachys
Eleusine_indica,Eleusine_indica,Eleusine_mulitflora,Eleusine multiflora,Annual,Open,Chloridoideae,C4,246.186,47601.09,7,29.67785714,698.8735714,1.877272727,10.33890909,3.250879493,153.3070893,0.385342988,1.045930825,0.109538889,0.219363123,0.205267451,0.101164525,4892.115,0.102773172,18.43886977,13.68812788,0.736964732,0.004970404,27.77030635,8.761433826,19.00887281,19.16330397,16.94379473,20.24073446,16.5561136,803.1250439,36.15500671,1.946538769,0.678171847,388.0657377,47.52153826,256.4387636,52.10855985,197.3642778,218.5653133,168.2574992,0.081932348,188.9932957,197.6246805,211.3619404,191.6855321,0.594981901,1.08372114,0.234284191,0.462626414,0.975561868,0.273831374,0.632424243,0.313685593,1.299400933,-0.109534382,-0.461811002,-0.166780191,-0.99041076,11,4.5,Eleusine
Bouteloua_gracilis,Bouteloua_gracilis,Bouteloua_curtipendula,Bouteloua curtipendula,Perennial,Open,Chloridoideae,C4,410.395,132279.703,8,25.521,514.067125,2.170111111,12.66066667,1.915924096,75.35009178,0.570497468,1.735373375,0.075072454,0.146576367,0.262888598,0.137068088,4112.537,0.031089705,15.10297397,14.56088379,0.537094492,0.018258873,30.08537713,0.419903123,29.66547394,18.46979681,12.37872196,21.71526583,8.400875412,611.076405,26.33258586,2.607650503,0.661671702,290.872555,45.3512702,201.5856011,105.6220258,169.3374172,232.0530577,104.7365185,0.253000579,184.8793956,165.182006,213.5810239,119.6748366,0.488042526,0.77081821,0.24613371,0.35226792,0.714607554,0.278233679,0.469849591,0.483027566,0.571570877,-0.338496542,-0.154256926,0.289536447,-0.044484875,9,4.5,Bouteloua
Distichlis_spicata,Distichlis_spicata,Distichlis_spicata,Distichlis spicata,Perennial,Open,Chloridoideae,C4,148.682,17362.329,4,29.46675,683.5435,3.247625,9.421125,1.603277762,73.97827042,0.796361716,1.217427315,0.054409725,0.108227597,0.245213569,0.129223136,2734.174,0.157477375,12.66466102,13.91125566,0.460706208,0.022238776,29.59465225,-2.572455285,32.16710735,11.70190904,14.1653627,20.79956913,4.727194623,429.0039367,17.44581083,1.942004602,0.669125831,202.6124982,33.12450013,72.3043982,159.7765456,161.1609887,247.8442843,77.52613352,0.37780343,137.2341104,197.2183232,225.4941588,91.7848828,0.447713017,0.750077199,0.204467367,0.443551069,0.713273944,0.226044167,0.255500618,0.655929485,0.434967649,-0.44113352,-0.2688058,-0.586095005,1.106630181,8,6,Distichlis
Eragrostis_tef,Eragrostis_tef,Eragrostis_minor,Eragrostis minor,Annual,Open,Chloridoideae,C4,260.483,53290.514,4,53.30825,2243.43425,6.1686,14.8208,4.420336064,373.1937319,1.472257164,1.97833116,0.0829203,0.166349307,0.238669579,0.133483426,8973.737,0.168392765,15.0328483,11.92909721,0.434562457,0.019491296,29.44893188,1.357759431,28.09117238,15.9643304,14.23827411,22.06786656,7.782898165,697.1718768,25.83334367,4.912596532,0.514650204,296.6272107,79.15475654,205.1497753,151.5071961,167.6954097,240.8593147,95.32879267,0.31159048,155.7051332,180.1934888,220.1416095,110.6561349,0.597868605,0.903615663,0.337669843,0.34974495,0.855934434,0.369493461,0.491531863,0.703601999,0.541306928,-0.220314371,0.191865705,-0.151090415,0.57455514,10,4.5,Eragrostis
Neyraudia_reynaudiana,Neyraudia_reynaudiana,Neyraudia_reynaudiana,Neyraudia reynoundiana,Perennial,Open,Chloridoideae,C4,651.121,332976.169,16,51.296625,2080.316438,3.19225,13.876625,4.309151314,353.5924169,0.354169753,1.350367668,0.084004578,0.169970496,0.110946747,0.097312399,33285.063,0.099962298,16.05135935,9.000755228,0.318810986,0.023389841,29.70387229,1.00797241,28.69590003,20.98396857,8.926127516,24.32297026,6.98050827,1492.448278,60.67707601,7.923747194,0.636539677,706.2473123,125.2288887,529.1876957,165.8897079,138.9281614,188.2122082,102.0748899,0.202221597,146.2411265,115.1386035,164.7131687,110.7494373,1.001365427,1.382646384,0.668568448,0.271326646,1.335148351,0.703113041,1.127782355,0.807655369,0.108120967,1.368413372,0.221158485,0.68908496,-0.550566659,8,5.5,Neyraudia
Centropodia_glauca,Centropodia_glauca,Centropodia_mossamadensis,Centropodia mossamadensis,Perennial,Open,Chloridoideae,C4,927.46,675585.094,12,64.26946154,3266.428923,4.677166667,27.52266667,5.543883035,556.4575797,1.434286445,3.315431066,0.086259989,0.170356555,0.306657117,0.12046184,42463.576,0.062854519,19.7881635,8.813837846,0.599330266,0.006952984,26.36666616,11.67000008,14.69666672,21.98546282,17.22454707,22.05098343,16.88872941,115.3332634,7.553846598,0,1.159945647,79.40135447,0.082829366,76.26828893,0.082829366,163.1224976,188.1866709,130.1256663,0.114717498,176.1980998,136.8798981,174.3781026,137.2795359,0.201561401,0.396457324,0.087424199,0.493726323,0.353774404,0.095616897,0.349751805,0.121849599,1.380337,-1.224223673,-0.814314326,-0.819312016,-2.136362314,12,6,Centropodia
Danthonia_californica,Danthonia_californica,Danthonia_californica,Danthonia californica,Perennial,Open,Danthonioideae,C3,294.453,68096.012,9,30.08611111,741.2467778,3.6058,13.6076,6.591410043,290.8003279,0.571889616,1.880096227,0.219084814,0.392312434,0.1586027,0.13816516,6671.221,0.097967866,7.93034677,13.71449446,0.442066228,0.022791926,25.83857555,-6.47227868,32.31085415,6.307873957,10.99339484,16.20656482,0.070149834,864.3768255,35.28320125,2.569648032,0.654567135,415.5002548,48.64096559,79.43319611,380.2952541,146.8185459,254.8290965,53.6500005,0.478302901,106.2047506,196.5411169,227.6801839,66.86676854,0.705260164,1.142985474,0.254399355,0.460018524,1.102379096,0.2904007,0.308965483,1.078905816,0.040816093,0.557705628,-0.297544345,-1.044592344,2.39782463,10,4.5,Danthonia
Rytidosperma_semiannulare,Rytidosperma_semiannulare,Rytidosperma_setifolium,Rhytidosperma setifolium,Perennial,Shade,Danthonioideae,C3,288.806,65509.326,9,30.613625,746.046375,4.047625,12.92725,3.810584355,181.7024321,1.117057095,2.244230237,0.124473477,0.243553803,0.275978406,0.173604613,5968.371,0.091107196,7.544654699,9.065373788,0.458172115,0.012981917,18.1739386,-1.603275383,19.77721376,4.861720589,10.35717297,12.22061759,2.824752817,2091.615385,49.18169961,27.65923823,0.136276461,602.419504,433.2082261,461.0743103,554.9903917,129.5413854,193.7459247,58.84046173,0.377683406,107.5456584,154.5749154,180.429772,70.88498042,1.264992219,1.381398916,1.079713776,0.065177413,1.353884541,1.154609112,1.163956972,1.333347522,0.555755464,0.479563549,2.751947458,-0.477649702,0.141840693,8,5.5,Rytidosperma
Cortaderia_selloana,Cortaderia_selloana,Cortaderia_jubata,Cortaderia jubata,Perennial,Open,Danthonioideae,C3,1142.03,1024341.011,11,72.169,4149.5029,6.854916667,23.60991667,9.124554309,1075.653804,1.021494668,1.871394155,0.126433154,0.259224738,0.149016351,0.079263056,41495.029,0.040508999,13.23671608,10.83675151,0.640188578,0.008461177,22.89707581,4.739297959,18.157778,11.71562353,14.84216072,16.35641281,10.1608973,921.96,29.4010358,7.999102129,0.428168316,349.8516638,122.9142408,205.5410698,239.7029332,150.9052891,206.6123741,95.45263051,0.24871654,121.0346608,182.9244969,185.7929215,115.1711633,0.816922361,1.126143405,0.476185165,0.312897259,1.089654236,0.525987982,0.663811997,0.933064738,0.956409977,-0.083002254,0.513563066,-1.113234098,-0.210432414,12,5.5,Cortaderia
Chionochloa_macra,Chionochloa_macra,Chionochloa_bromoides,Chionochloa bromoides,Perennial,Open,Danthonioideae,C3,422.013,139875.77,13,34.07276923,927.1582308,13.5814,18.116,4.601046659,258.8279642,2.100638644,1.651626606,0.135035888,0.279162667,0.154670258,0.091169497,12053.057,0.086169728,15.7581501,7.920680046,0.483729601,0.0098962,24.5,8.125809669,16.37418938,12.34259987,17.98378944,19.57357979,12.24260044,1612,43.16910172,23.04529953,0.206752703,525.6749268,305.7695007,342.2531128,518.3078003,139.0536957,194.3320007,77.7009964,0.292971194,89.20540619,189.4143066,174.2891998,95.2318573,1.165032983,1.338868976,1.019181967,0.087668873,1.306638002,1.038185954,1.070955992,1.297793984,0.934935987,0.279496998,2.293534994,-0.783069015,0.125031993,10,4.5,Chionochloa
Elytrophorus_spicatus,Elytrophorus_spicatus,Elytrophorus_spicatus,Elytrophorus spicatus,Annual,Open,Arundinoideae,C3,161.798,20560.607,2,34.008,928.2315,2.822333333,7.489222222,7.117736859,380.2106091,0.514153674,1.121129094,0.209295956,0.409607527,0.182173263,0.149699002,1856.463,0.090292227,25.14143711,13.39554937,0.546575287,0.012599945,36.48345001,11.65972191,24.82372824,28.57109536,21.00114531,29.41729702,19.91976827,727.2427783,41.34984708,1.2231942,0.926844467,454.9091612,23.68371529,289.3535493,59.78121184,201.1088999,244.051948,159.5291291,0.137941377,200.3032405,197.6639743,220.0890046,177.2592032,0.402930627,0.876258706,0.136861767,0.587397079,0.781809202,0.156398217,0.482219257,0.259424422,1.022832943,0.12386823,-0.804073689,0.624121003,-0.149428511,9,5,Elytrophorus
Phragmites_australis,Phragmites_australis,Phragmites_australis,Phragmites australis,Perennial,Open,Arundinoideae,C3,195.37,29978.212,9,27.04555556,591.589,2.4584,12.3986,4.949596956,199.0360415,0.655645941,3.05705658,0.183009624,0.336443107,0.266696201,0.246564659,5324.301,0.177605689,14.47142372,10.64384949,0.399387396,0.019994324,28.9146955,1.813041479,27.10165409,15.32430703,17.59164763,22.0819242,7.403614939,544.6723004,17.75049337,4.510738403,0.36528056,198.0409417,80.4051507,118.0968162,122.1548891,156.3776159,243.1489778,74.07786188,0.378113127,141.9637372,197.8953828,220.3348694,90.54235782,0.555402849,0.769559928,0.29672228,0.29428279,0.739514255,0.343125286,0.372310415,0.682443949,0.595666286,-0.644256645,0.356672829,-0.581960321,0.708589193,10,4.5,Phragmites
Eriachne_stipacea,Eriachne_stipacea,Eriachne_pallescens,Eriachne pallescens,Perennial,Open,Micrairoideae,C4,244.419,46920.105,9,32.00866667,808.8781111,13.21055556,23.37688889,2.449180424,120.6258848,2.991985257,3.714511759,0.076516165,0.149127394,0.226484438,0.158896754,7279.903,0.155155301,22.9702732,9.920855343,0.559145586,0.009335734,31.152397,13.1030819,18.04931536,25.85482604,20.15011962,26.1517893,19.15782655,1416.830909,61.95497187,6.057622616,0.702267048,728.7852398,104.54123,576.2970203,136.2530047,185.6669589,226.9447997,143.2076391,0.151563573,188.9277234,189.2914535,202.3853033,162.5745446,0.801719084,1.319787665,0.350837404,0.432739964,1.249324341,0.410896729,1.023485547,0.586996102,0.929106716,1.062860628,-0.176589105,0.564343978,-0.511298212,9,4.5,Eriachne
Isachne_distichophylla,Isachne_distichophylla,Isachne_polygonoides,Isachne polygonoides,Perennial,Open,Micrairoideae,C3,123.506,11980.241,6,27.707,616.7876667,2.4785,9.453125,2.919960822,134.7076612,0.484895865,1.399147132,0.105387116,0.218402002,0.195640857,0.148008953,3700.726,0.308902467,24.9965882,10.47730494,0.755670193,0.002053947,31.9961356,18.08645276,13.90968233,24.91991211,24.68269763,25.75019376,24.20334995,2242.941176,83.71241783,7.644172416,0.614211528,982.0691887,133.2617422,431.742358,520.8658387,152.6610951,185.0797056,121.1708423,0.152478346,130.628996,169.9052402,172.8018287,140.8050214,1.080729257,1.628142371,0.422713468,0.394283959,1.544986893,0.502703275,0.862498902,1.093919666,0.9811959,1.988993126,0.001133651,-0.22160459,0.418075674,8,4,Isachne
Leptaspis_zeylanica,Leptaspis_zeylanica,Leptaspis_zeylanica,Leptaspis zeylanica,Perennial,Shade,Pharoideae,C3,247.255,48015.323,9,25.7791,526.5112,4.857571429,8.582428571,2.541419352,102.3361203,0.804885677,0.714373352,0.098584487,0.194366464,0.165697137,0.083236737,5265.112,0.109654828,24.06107766,9.132448673,0.765316829,0.00272825,30.29667177,18.33484246,11.96182929,23.82173308,23.85244958,24.97286828,22.90152518,1975.37559,77.92470677,6.804779424,0.551937238,803.5601417,155.3419385,488.6673221,417.796034,121.4842012,156.0090734,87.20786103,0.198368276,104.9263149,127.7040031,148.3821668,92.46293875,1.093504416,1.586263753,0.490892587,0.298438242,1.423675728,0.631941016,1.037023547,1.03554412,0.927112291,1.677312079,0.205002778,-0.465642013,-0.605137187,7,12,Leptaspis
Pharus_latifolius,Pharus_latifolius,Pharus_latifolius,Pharus latifolius,Perennial,Shade,Pharoideae,C3,416.611,136317.586,14,30.82986667,753.4506667,8.334428571,13.76657143,3.078109923,144.8290096,1.853047477,1.488231821,0.099841818,0.192220959,0.222336476,0.108104754,11301.76,0.082907571,24.16226318,8.926111363,0.717006592,0.003330034,30.51047194,18.04602149,12.46445051,24.27671948,23.84991879,25.40645195,22.85640805,2182.025454,69.41074491,16.74360866,0.384844188,804.330224,266.6633475,473.3895785,527.8321751,166.1071555,191.9087122,138.0698559,0.102718389,159.2742276,171.0963213,184.4819084,148.3413487,1.163987693,1.505234415,0.773414058,0.207515001,1.426984977,0.837513235,1.045858331,1.187872402,1.200662661,1.152267593,1.500480022,0.258952265,-0.115536031,7,3.5,Pharus
Anomochloa_marantoidea,Anomochloa_marantoidea,Anomochloa_marantoidea,Anomochloa marantoidea,Perennial,Shade,Anomochlooideae,C3,540.161,229158.509,21,28.60381818,659.9959545,8.505909091,20.52690909,4.817250872,214.1503335,1.796720927,2.383344937,0.168412862,0.324472191,0.211232087,0.11610832,14519.911,0.063361867,24.05478636,6.884061098,0.637030592,0.003446813,29.24999968,18.44408385,10.80591647,24.75424767,23.53991636,25.26060232,22.60045624,1529.5,36.14625041,21.79131635,0.116190083,422.8603719,327.3939768,405.4933421,366.4788208,154.8578974,171.6716614,129.1528371,0.086882415,163.2276204,153.7416128,168.9754537,135.1354014,1.125889838,1.178207636,1.072423816,0.025671165,1.14724201,1.098500292,1.110621532,1.145574292,1.456530631,-0.256124002,2.650969744,0.213509661,-1.43151317,11,7.5,Anomochloa
Streptochaeta_spicata,Streptochaeta_spicata,Streptochaeta_spicata,Streptochaeta spicata,Perennial,Shade,Anomochlooideae,C3,428.048,143904.536,33,27.20233333,592.4297576,9.382727273,27.55018182,3.845351412,165.7845482,2.052740758,3.201443294,0.141361087,0.27983832,0.218778687,0.116204071,19550.182,0.135855217,24.26893773,9.166423012,0.720328568,0.00349258,30.78331006,17.86316948,12.92014069,24.7212309,23.77536429,25.54046624,22.88795893,1905.648129,68.52908009,9.148776011,0.530680154,789.6486124,161.3307187,453.057978,401.6507788,164.3731347,191.8932693,135.6828703,0.104204509,163.8646058,168.9963372,182.5093986,145.4706766,1.061564227,1.487280977,0.543272406,0.309274357,1.405550916,0.628028109,0.970375636,1.0368349,1.107563795,1.29223699,0.549952875,0.081605456,-0.233430122,11,6.5,Streptochaeta
